AccountNo,DATE,TRANSACTIONDETAILS,CHQ.NO.,VALUEDATE, WITHDRAWALAMT , DEPOSIT AMT ,BALANCEAMT,Customer ID
409000611074',29-Jun-17,TRF FROM  Indiaforensic SERVICES,,29-Jun-17,,"10,00,000.00","10,00,000.00",1001
409000611074',05-Jul-17,TRF FROM  Indiaforensic SERVICES,,05-Jul-17,,"10,00,000.00","20,00,000.00",
409000611074',18-Jul-17,FDRL/INTERNAL FUND TRANSFE,,18-Jul-17,,"5,00,000.00","25,00,000.00",
409000611074',01-Aug-17,TRF FRM  Indiaforensic SERVICES,,01-Aug-17,,"30,00,000.00","55,00,000.00",
409000611074',16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,16-Aug-17,,"5,00,000.00","60,00,000.00",
409000611074',16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,16-Aug-17,,"5,00,000.00","65,00,000.00",
409000611074',16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,16-Aug-17,,"5,00,000.00","70,00,000.00",
409000611074',16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,16-Aug-17,,"5,00,000.00","75,00,000.00",
409000611074',16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,16-Aug-17,,"5,00,000.00","80,00,000.00",
409000611074',16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,16-Aug-17,,"5,00,000.00","85,00,000.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL01071,,16-Aug-17,"1,33,900.00",,"83,66,100.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL02071,,16-Aug-17,"18,000.00",,"83,48,100.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL03071,,16-Aug-17,"5,000.00",,"83,43,100.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL04071,,16-Aug-17,"1,95,800.00",,"81,47,300.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL05071,,16-Aug-17,"81,600.00",,"80,65,700.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL06071,,16-Aug-17,"41,800.00",,"80,23,900.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL07071,,16-Aug-17,"98,500.00",,"79,25,400.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL10071,,16-Aug-17,"1,43,800.00",,"77,81,600.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL11071,,16-Aug-17,"3,31,650.00",,"74,49,950.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL12071,,16-Aug-17,"1,29,000.00",,"73,20,950.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL13071,,16-Aug-17,"2,30,013.00",,"70,90,937.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL14071,,16-Aug-17,"3,67,900.00",,"67,23,037.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL15071,,16-Aug-17,"1,08,000.00",,"66,15,037.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL16071,,16-Aug-17,"64,800.00",,"65,50,237.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL17071,,16-Aug-17,"1,41,000.00",,"64,09,237.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL18071,,16-Aug-17,"61,750.00",,"63,47,487.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL19071,,16-Aug-17,"67,920.00",,"62,79,567.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL20071,,16-Aug-17,"78,100.00",,"62,01,467.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL21071,,16-Aug-17,"35,650.00",,"61,65,817.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL22071,,16-Aug-17,"2,06,000.00",,"59,59,817.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL24071,,16-Aug-17,"35,300.00",,"59,24,517.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL25071,,16-Aug-17,"49,800.00",,"58,74,717.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL26071,,16-Aug-17,"53,000.00",,"58,21,717.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL27071,,16-Aug-17,"91,300.00",,"57,30,417.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL28071,,16-Aug-17,"57,499.00",,"56,72,918.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL30071,,16-Aug-17,"20,000.00",,"56,52,918.00",
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL31071,,16-Aug-17,"19,400.00",,"56,33,518.00",
409000611074',06-Sep-17,INDO GIBL Indiaforensic STL01081,,06-Sep-17,"40,500.00",,"55,93,018.00",
409000611074',06-Sep-17,INDO GIBL Indiaforensic STL02081,,06-Sep-17,"2,42,300.00",,"53,50,718.00",
409000611074',06-Sep-17,INDO GIBL Indiaforensic STL03081,,06-Sep-17,"90,100.00",,"52,60,618.00",
409000611074',06-Sep-17,INDO GIBL Indiaforensic STL04081,,06-Sep-17,"1,13,250.00",,"51,47,368.00",
409000611074',06-Sep-17,INDO GIBL Indiaforensic STL05081,,06-Sep-17,"12,500.00",,"51,34,868.00",
409000611074',06-Sep-17,INDO GIBL Indiaforensic STL06081,,06-Sep-17,"40,000.00",,"50,94,868.00",
409000611074',06-Sep-17,INDO GIBL Indiaforensic STL07081,,06-Sep-17,"2,06,900.00",,"48,87,968.00",
409000611074',06-Sep-17,INDO GIBL Indiaforensic STL08081,,06-Sep-17,"2,76,000.00",,"46,11,968.00",
409000611074',06-Sep-17,INDO GIBL Indiaforensic STL09081,,06-Sep-17,"1,71,000.00",,"44,40,968.00",
409000611074',06-Sep-17,INDO GIBL Indiaforensic STL10081,,06-Sep-17,"40,100.00",,"44,00,868.00",
409000611074',06-Sep-17,INDO GIBL Indiaforensic STL11081,,06-Sep-17,"1,89,800.00",,"42,11,068.00",
409000611074',06-Sep-17,INDO GIBL Indiaforensic STL12081,,06-Sep-17,"55,800.00",,"41,55,268.00",
